date,place,title,visitor_name,type,organisation,gender,race,party,nationality,note
2017-05-24,"Brussels, Belgium",Master of Ceremonies for the Belgian Foreign Ministry,Monique Driesmans,,,White,White,,,
2017-05-25,"Brussels, Belgium",U.S. Chargé d'Affaires Ad Interim to Belgium,Matt Lussenhop,,,White,White,,,
2017-05-25,"Brussels, Belgium",President of the European Council,Donald Tusk,Foreign leader,,White,White,,,
2017-05-25,"Brussels, Belgium",Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-05-25,"Brussels, Belgium",Secretary of Defense,James Mattis,Cabinet member,,White,White,,,
2017-05-25,"Brussels, Belgium",State Department Chief of Staff,Margaret Peterlin,,,White,White,,,
2017-05-25,"Brussels, Belgium",U.S. Chargé d’Affaires to the European Union,Adam Shub,,,White,White,,,
2017-05-25,"Brussels, Belgium",President of the European Commission,Jean-Claude Juncker,Foreign leader,,White,White,,,
2017-05-25,"Brussels, Belgium",High Representative of the European Union for Foreign Affairs and Security Policy,Federica Mogherini,,,White,White,,,
2017-05-25,"Brussels, Belgium",Head of the Delegation of the European Union to the United States,David O'Sullivan,,,White,White,,,
2017-05-25,"Brussels, Belgium",Head of Cabinet of European Union Commission,Martin Selmayr,,,White,White,,,
2017-05-25,"Brussels, Belgium",Head of Cabinet of European Council,Piotr Serafin,,,White,White,,,
2017-05-25,"Brussels, Belgium",Diplomatic Adviser to European Commission President Jean-Claude Juncker,Richard Szostak,,,White,White,,,
2017-05-25,"Brussels, Belgium",Chief Foreign Policy Adviser to European Council President Donald Tusk,Riina Kionka,,,White,White,,,
2017-05-25,"Brussels, Belgium",Trade and Development Adviser to European Commission President Jean-Claude Juncker,Leon Delvaux,,,White,White,,,
2017-05-25,"Brussels, Belgium",Spokesperson for European Council President Donald Tusk,Preben Aamann,,,White,White,,,
2017-05-25,"Brussels, Belgium",President-elect of France,Emmanuel Macron,Foreign leader,,White,White,,France,
2017-05-25,"Brussels, Belgium",French Minister of the Army,Sylvie Goulard,,,White,White,,,
2017-05-25,"Brussels, Belgium",French Foreign Minister,Jean-Yves Le Drian,,,White,White,,,
2017-05-25,"Brussels, Belgium",Diplomatic Adviser to French President Emmanuel Macron,Philippe Etienne,,,White,White,,,
2017-05-25,"Brussels, Belgium",Chancellor of Germany,Angela Merkel,Foreign leader,,White,White,,Germany,
2017-05-25,"Brussels, Belgium",NATO Secretary General,Jens Stoltenberg,Foreign leader,,White,White,,Norway,
2017-05-25,"Brussels, Belgium",Prime Minister of Britain,Theresa May,Foreign leader,,White,White,,United Kingdom,
2017-05-25,"Brussels, Belgium",Prime Minister of Canada,Justin Trudeau,Foreign leader,,White,White,,Canada,
2017-05-25,"Brussels, Belgium",King of Belgium,King Philippe,Foreign leader,,White,White,,Belgium,
2017-05-25,"Brussels, Belgium",Prime Minister of Belgium,Charles Michel,Foreign leader,,White,White,,Belgium,
2017-05-25,"Sicily, Italy",Commanding Officer of U.S. Naval Air Station Sigonella,Brent Trickel,,,White,White,,,
2017-05-25,"Sicily, Italy",Commanding Officer of Italian Air Force Base,Federico Fedele,,,White,White,,,
2017-05-25,"Sicily, Italy",Executive Officer of U.S. Naval Air Station Sigonella,Charles McKinney II,,,Black,Black,,,
2017-05-25,"Sicily, Italy",Prefect of Syracuse,Giuseppe Castaldo,,,White,White,,,
2017-05-25,"Brussels, Belgium",Prime Minister of Montenegro,Dusko Markovic,Foreign leader,,White,White,,,
2017-05-26,"Sicily, Italy",Prime Minister of Japan,Shinzō Abe,Foreign leader,,Asian,Asian,,Japan,
2017-05-26,"Sicily, Italy",Prime Minister of Italy,Paolo Gentiloni,Foreign leader,,White,White,,Italy,
2017-05-26,"Sicily, Italy",President of the European Commission,Jean-Claude Juncker,Foreign leader,,White,White,,,
2017-05-26,"Sicily, Italy",President of the European Council,Donald Tusk,Foreign leader,,White,White,,,
2017-05-26,"Sicily, Italy",Prime Minister of Canada,Justin Trudeau,Foreign leader,,White,White,,Canada,
2017-05-26,"Sicily, Italy",President-elect of France,Emmanuel Macron,Foreign leader,,White,White,,France,
2017-05-26,"Sicily, Italy",Chancellor of Germany,Angela Merkel,Foreign leader,,White,White,,Germany,
2017-05-27,"Sicily, Italy",Prime Minister of Italy,Paolo Gentiloni,Foreign leader,,White,White,,Italy,
2017-05-27,"Sicily, Italy",Managing Director of the International Monetary Fund,Christine Lagarde,,,White,White,,,
2017-05-27,"Sicily, Italy",Prime Minister of Canada,Justin Trudeau,Foreign leader,,White,White,,Canada,
2017-05-27,"Sicily, Italy",Prime Minister of Japan,Shinzō Abe,Foreign leader,,Asian,Asian,,Japan,
2017-05-28,By phone,Tennessee Senator,Bob Corker,U.S. politician,,White,White,Republican,,
2017-05-29,"Arlington, Virginia",Secretary of Defense,James Mattis,Cabinet member,,White,White,,,
2017-05-29,"Arlington, Virginia",Secretary of Homeland Security,John Kelly,Cabinet member,,White,White,,,
2017-05-29,White House,Former Deputy Campaign Manager to Donald Trump's Presidential Campaign,David Bossie,,,White,White,Republican,,
2017-05-29,White House,Former Trump Campaign Manager,Corey Lewandowski,,,White,White,,,
2017-05-30,White House,EPA Administrator,Scott Pruitt,Cabinet member,,White,White,,,
2017-05-30,White House,President of Anderson University,John Pistole,,,White,White,,,
