date,place,title,visitor_name,type,organisation,gender,race,party,nationality,note
2017-01-20,White House,Secretary of Transportation,Elaine Chao,Cabinet member,,Asian,Asian,Republican,,
2017-01-20,White House,Former President,Barack Obama,U.S. politician,,Black,Black,Democrat,,
2017-01-20,White House,Former First Lady,Michelle Obama,,,Black,Black,Democrat,,
2017-01-20,White House,Senate Minority Leader,Chuck Schumer,U.S. politician,,White,White,Democrat,,
2017-01-20,White House,House Minority Leader,Nancy Pelosi,U.S. politician,,White,White,Democrat,,
2017-01-20,White House,Speaker of the House,Paul Ryan,U.S. politician,,White,White,Republican,,
2017-01-20,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-01-20,White House,Missouri Senator,Roy Blunt,U.S. politician,,White,White,Republican,,
2017-01-20,By phone,California Representative,Kevin McCarthy,U.S. politician,,White,White,Republican,,
2017-01-22,By phone,Prime Minister of Israel,Benjamin Netanyahu,Foreign leader,,White,White,,Israel,
2017-01-23,White House,Former Chairman and CEO,Klaus Kleinfeld,Executive,Arconic,White,White,,,
2017-01-23,White House,CEO,Kevin Plank,Executive,Under Armour,White,White,,,
2017-01-23,White House,CEO,Elon Musk,Executive,Tesla and others,White,White,,,
2017-01-23,White House,CEO,Michael Dell,Executive,Dell,White,White,,,
2017-01-23,White House,"Chairwoman, President. CEO",Marillyn Hewson,Executive,Lockheed Martin,White,White,,,
2017-01-23,White House,Then-President and CEO,Mark Fields,Executive,Ford,White,White,,,
2017-01-23,White House,Chairman and CEO,Alex Gorsky,Executive,Johnson & Johnson,White,White,,,
2017-01-23,White House,Chairman and CEO,Jeff Fettig,Executive,Whirlpool,White,White,,,
2017-01-23,White House,Chairman and CEO,Mark Sutton,Executive,International Paper,White,White,,,
2017-01-23,White House,CEO,Wendell Weeks,Executive,"Corning, Inc.",White,White,,,
2017-01-23,White House,"Chairman, President and CEO",John Ferriola,Executive,Nucor Corporation,White,White,,,
2017-01-23,White House,Chairman and CEO,Andrew Liveris,Executive,Dow Chemical,White,White,,,
2017-01-23,By phone,President of Egypt,Abdel Fattah el-Sisi,Foreign leader,,White,White,,Egypt,
2017-01-23,White House,Senate Minority Leader,Chuck Schumer,U.S. politician,,White,White,Democrat,,
2017-01-23,White House,Texas Republican,John Cornyn,U.S. politician,,White,White,Republican,,
2017-01-23,White House,House Minority Leader,Nancy Pelosi,U.S. politician,,White,White,Democrat,,
2017-01-23,White House,Maryland Representative,Steny Hoyer,U.S. politician,,White,White,Democrat,,
2017-01-23,White House,Speaker of the House,Paul Ryan,U.S. politician,,White,White,Republican,,
2017-01-23,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-01-23,White House,Political Director,Thomas Flynn,Union,United Brotherhood of Carpenters & Joiners of America,White,White,,,
2017-01-23,White House,President,Sean McGarvey,Union,North America's Building Trades Unions,White,White,,,
2017-01-23,White House,General President,Terry O'Sullivan,Union,Laborers' International Union of North America,White,White,,,
2017-01-23,White House,General President,Mark McManus,Union,The United Association,White,White,,,
2017-01-23,White House,,Donald Mullins,Union,"Steamfitters United Association, Local 602",White,White,,,
2017-01-23,White House,Second General Vice President,Frank Spencer,Union,United Brotherhood of Carpenters,White,White,,,
2017-01-23,White House,General President,Doug McCarron,Union,United Brotherhood of Carpenters,White,White,,,
2017-01-23,White House,General President,Joseph Sellers,Union,Sheet Metal Workers' Union/SMART Unio,White,White,,,
2017-01-23,White House,,Mark Uzarowski,Union,"United Association, Local 5",White,White,,,
2017-01-23,White House,Assistant Director,Stephen J Dodd,Union,Sheet Metal Workers' Union/SMART Union,White,White,,,
2017-01-23,White House,California Representative,Kevin McCarthy,U.S. politician,,White,White,Republican,,
2017-01-23,White House,,Mark Coles,Union,"Ironworkers, Local 5",Black,Black,,,
2017-01-23,White House,,Telma Mata,Union,"Heat and Frost Insulators and Allied Workers, Local 24",,,,,
2017-01-23,White House,"President, Local 19",Gary Masino,Union,Sheet Metal Workers' Union/SMART Unio,White,White,,,
2017-01-24,White House,"Executive Vice President & General Counsel, Legal and Public Policy",Craig Glidden,Executive,General Motors,White,White,,,
2017-01-24,White House,Head of External Affairs,Roger Karr,Executive,Fiat Chrysler Automobiles,White,White,,,
2017-01-24,White House,CEO,Sergio Marchionne,Executive,Fiat Chrysler,White,White,,,
2017-01-24,White House,Group Vice President of Government and Community Relations.,Ziad S Ojakli,Executive,New York Post,White,White,,,
2017-01-24,White House,CEO,Mary Barra,Executive,General Motors,White,White,,,
2017-01-24,White House,CIA Director,Mike Pompeo,Cabinet member,,White,White,,,
2017-01-24,By phone,Prime Minister of India,Narendra Modi,Foreign leader,,Asian,Asian,,India,
2017-01-24,White House,Senate Minority Leader,Chuck Schumer,U.S. politician,,White,White,Democrat,,
2017-01-24,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-01-24,White House,Senate Judiciary Committee Chairman,Chuck Grassley,U.S. politician,,White,White,Republican,,
2017-01-24,White House,"California Senator, Top Democrat on Senate Judiciary",Dianne Feinstein,U.S. politician,,White,White,Democrat,,
2017-01-24,White House,President,Matt Blunt,Executive,American Automotive Policy Council,White,White,,,
2017-01-24,By phone,Political Correspondent,Maggie Haberman,Media,New York Times,White,White,,,
2017-01-25,By phone,Governor of Mississippi,Phil Bryant,U.S. politician,,White,White,Republican,,
2017-01-25,White House,Host,David Muir,Media,ABC News,White,White,,,
2017-01-26,White House,"Journalist, TV Host",Sean Hannity,Media,FOX News,White,White,,,
2017-01-27,White House,Prime Minister of Britain,Theresa May,Foreign leader,,White,White,,United Kingdom,
2017-01-27,White House,White House Correspondent,David Brody,Media,Christian Brodcasting Network,White,White,,,
2017-01-27,White House,Then-Director of the FBI,James B Comey,,,White,White,Independent,,
2017-01-28,By phone,Prime Minister of Japan,Shinzō Abe,Foreign leader,,Asian,Asian,,Japan,
2017-01-28,By phone,Chancellor of Germany,Angela Merkel,Foreign leader,,White,White,,Germany,
2017-01-28,By phone,Prime Minister of Australia,Malcolm Turnbull,Foreign leader,,White,White,,Australia,
2017-01-28,By phone,President of France,François Hollande,Foreign leader,,White,White,,France,
2017-01-28,By phone,President of Russia,Vladimir Putin,Foreign leader,,White,White,,Russian Federation,
2017-01-29,By phone,King of Saudi Arabia,Salman bin Abdulaziz Al-Saud,Foreign leader,,White,White,,Saudi Arabia,
2017-01-29,By phone,Crown Prince of Abu Dhabi,Mohammed bin Zayed bin Sultan Al-Nahyan,Foreign leader,,White,White,,United Arab Emirates,
2017-01-29,By phone,President of South Korea,Hwang Kyo-ahn,Foreign leader,,Asian,Asian,,"Korea, Republic of",
2017-01-29,White House,MSNBC Host,Joe Scarborough,Media,MSNBC,White,White,,,Former Florida Representative
2017-01-29,White House,MSNBC Host,Mika Brzezinski,Media,MSNBC,White,White,,,
2017-01-30,White House,Owner,Dennis Bradford,Executive,The Genesis Group,White,White,,,
2017-01-30,White House,Owner,Casey T Patten,Executive,Taylor Gourmet,White,White,,,
2017-01-30,White House,Owner,Irma Aguirre,Executive,Mexican Bistro Café,Hispanic,Hispanic,,,
2017-01-30,White House,Owner,Chris Christou,Executive,Gold Crust Baking Co.,White,White,,,
2017-01-30,White House,Owner,Jacqueline F Krick,Executive,ECU Communications,White,White,,,
2017-01-30,White House,Owner,Natalia M Luis,Executive,Luis Asphalt Construction Co,White,White,,,
2017-01-30,White House,Chief of Operations,Larry N McKenney,Executive,Capitol Radiology,White,White,,,
2017-01-30,White House,Owner,Joy A Weatherup-Anthis,Executive,JWA Construction Management,White,White,,,
2017-01-30,White House,President and CEO,Roger Campos,Executive,Minority Business Roundtable,Hispanic,Hispanic,,,
2017-01-31,White House,Chairman and CEO,Robert A Bradway,Executive,Amgen,White,White,,,
2017-01-31,White House,"Executive Vice President and Worldwide Chairman, Pharmaceuticals",Joaquin Duato,Executive,Johnson & Johnson,White,White,,,
2017-01-31,White House,CEO,Kenneth C Frazier,Executive,Merck,Black,Black,,,
2017-01-31,White House,Executive Chairman,Robert J Hugin,Executive,Celgene,White,White,,,
2017-01-31,White House,CEO,Joseph Jimenez,Executive,Novartis,White,White,,,
2017-01-31,White House,President and CEO,David A Ricks,Executive,Eli Lilly,White,White,,,
2017-01-31,White House,CEO,Stephen J Ubl,Executive,PhRMA,White,White,,,
2017-01-31,White House,Director of National Intelligence,Dan Coats,Cabinet member,,White,White,,,
2017-01-31,White House,Then-National Security Adviser,Michael Flynn,Cabinet member,,White,White,,,
2017-01-31,White House,Former New York City Mayor/Informal Trump Adviser,Rudy Giuliani,U.S. politician,,White,White,Republican,,
2017-01-31,White House,Chairman of House Energy and Commerce Committee,Greg Walden,U.S. politician,,White,White,Republican,,
2017-01-31,White House,Former NSA Director,Keith Alexander,,,White,White,,,
2017-01-31,White House,Secretary of Homeland Security,John Kelly,Cabinet member,,White,White,,,
2017-01-31,White House,Supreme Court Justice,Neil Gorsuch,U.S. politician,,White,White,,,
2017-01-31,White House,Wife of Neil Gorsuch,Louisa Gorsuch,,,White,White,,,
2017-01-31,White House,Former Digital Director of the Trump Presidential Campaign,Brad Parscale,,,White,White,,,
2017-02-01,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-02-01,White House,Secretary of Housing and Urban Development,Ben Carson,Cabinet member,,Black,Black,,,
2017-02-01,White House,,Darrell Scott,,New Spirit Revival Center,Black,Black,,,Pastor
2017-02-01,White House,,Belinda Scott,,,Black,Black,,,Wife of Darrell Scott
2017-02-01,White House,Pastor,James Davis,,National Diversity Coalition for Trump,Black,Black,,,
2017-02-01,White House,Resident Fellow,Gerard Robinson,,American Enterprise Institute,Black,Black,,,
2017-02-01,White House,,Earl Matthews,,,White,White,,,U.S. Army Reserve Lt. Col. (Retired)
2017-02-01,White House,"Senior Director of Strategic Communications, CNN Contributor",Paris Dennard,,Thurgood Marshall's College Fund,Black,Black,,,
2017-02-01,White House,,Bill Cleveland,,,Black,Black,,,"Former Vice Mayor of Alexandria, VA, Retired Capitol Hill Police Officer"
2017-02-01,White House,President,Morton Blackwell,,The Leadership Institute,White,White,,,
2017-02-01,White House,Senior VP,Tom Collamore,,U.S. Chamber of Commerce,White,White,,,
2017-02-01,White House,President,Marjorie Dannenfelser,,Susan B. Anthony List,White,White,,,
2017-02-01,White House,President and CEO,Juanita D Duggan,,National Federation of Independent Business,White,White,,,
2017-02-01,White House,Ceo,Wayne LaPierre,,National Rifle Association,White,White,,,
2017-02-01,White House,Executive Vice President,Leonard Leo,,Federalist Society,White,White,,,
2017-02-01,White House,Founder and President,Grover Norquist,,Americans for Tax Reform,White,White,,,
2017-02-01,White House,Executive Director,David O'Steen,,National Right to Life,White,White,,,
2017-02-01,White House,Pastor,Paula White,,New Destiny Christian Center,White,White,,,
2017-02-01,White House,President and CEO,Charmaine Yoest,,American Values,White,White,,,
2017-02-01,White House,Owner,Armstrong Williams,Media,Howard Stirk Holdings Broadcast Group,Black,Black,,,
2017-02-01,White House,CEO,Penny Nance,,Concerned Women for America,White,White,,,
2017-02-02,White House,CEO,Matthew Levatich,Executive,Harley Davidson,White,White,,,
2017-02-02,White House,Utah Senator,Orrin Hatch,U.S. politician,,White,White,Republican,,
2017-02-02,White House,Oregan Senator,Ron Wyden,U.S. politician,,White,White,Democrat,,
2017-02-02,White House,Texas Representative,Kevin Brady,U.S. politician,,White,White,Republican,,
2017-02-02,White House,Massachusetts Representative,Richard Neal,U.S. politician,,White,White,Democrat,,
2017-02-03,White House,Chairman and CEO,Stephen Schwarzman,Executive,Blackstone,White,White,,,
2017-02-03,White House,CEO,Indra Nooyi,Executive,PepsiCo,Asian,Asian,,,
2017-02-03,White House,President and CEO,Doug McMillon,Executive,Walmart,w,w,,,
2017-02-03,White House,"Chairman, President and CEO",Jamie Dimon,Executive,JP Morgan Chase,White,White,,,
2017-02-03,White House,CEO,Mary Barra,Executive,General Motors,White,White,,,
2017-02-03,White House,CEO,Mark Weinberger,Executive,Ernst and Young,White,White,,,
2017-02-03,White House,Chairman and CEO,Larry Fink,Executive,BlackRock,White,White,,,
2017-02-03,White House,CEO,Elon Musk,Executive,Tesla and others,White,White,,,
2017-02-03,White House,Former Chairman and CEO,Jack Welch,Executive,General Electric,White,White,,,
2017-02-03,White House,CEO,Paul Atkins,Executive,Patomak Global Partners,White,White,,,
2017-02-03,White House,Chairman and Managing Partner,Adebayo Ogunlesi,Executive,Global Infrastructure Partners,Black,Black,,,
2017-02-03,White House,President and CEO,Toby Cosgrove,Executive,Cleveland Clinic,White,White,,,
2017-02-03,White House,President and CEO,Rich Lesser,Executive,Boston Consulting Group,White,White,,,
2017-02-03,White House,"Former Chairman, President and CEO",Jim McNerney,Executive,Boeing,White,White,,,
2017-02-03,White House,Co-Founder and Chairman,Daniel Yergin,Executive,Cambridge Energy Research Associate,White,White,,,
2017-02-03,White House,Then-National Security Adviser,Michael Flynn,Cabinet member,,White,White,,,
2017-02-03,White House,Secretary of Commerce,Wilbur Ross,Cabinet member,,White,White,,,
2017-02-03,White House,Missouri Representative,Ann Wagner,U.S. politician,,White,White,Republican,,
2017-02-03,White House,Shepard Family Distinguished Visiting Fellow in Economics,Kevin Warsh,,Hoover Institute,White,White,,,
2017-02-03,White House,Secretary of Homeland Security,John Kelly,Cabinet member,,White,White,,,
2017-02-03,White House,CEO,Ginni Rometty,Executive,IBM,White,White,,,
2017-02-04,By phone,President of Ukraine,Petro Poroshenko,Foreign leader,,White,White,,Ukraine,
2017-02-04,By phone,Prime Minister of Italy,Paolo Gentiloni,Foreign leader,,White,White,,Italy,
2017-02-05,By phone,NATO Secretary General,Jens Stoltenberg,Foreign leader,,White,White,,Norway,
2017-02-05,By phone,Prime Minister of New Zealand,Bill English,Foreign leader,,White,White,,New Zealand,
2017-02-05,By phone,Sportscaster,Jim Gray,Media,Westwood One,White,White,,,
2017-02-06,"MacDill Air Force Base, Tampa Bay, FL",Governor of Florida,Rick Scott,U.S. politician,,White,White,Republican,,
2017-02-07,White House,President and CEO,Toby Cosgrove,Executive,Cleveland Clinic,White,White,,,
2017-02-07,White House,CEO,Ike Perlmutter,Executive,Marvel Entertainment,White,White,,,
2017-02-07,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-02-07,White House,Secretary of Veterans Affairs,David Shulkin,Cabinet member,,White,White,,,
2017-02-07,By phone,Prime Minister of Spain,Mariano Rajoy,Foreign leader,,White,White,,Spain,
2017-02-07,White House,"Utah Representative, Chairman of House Oversight Committee",Jason Chaffetz,U.S. politician,,White,White,Republican,,
2017-02-07,White House,,Tiffany Smiley,,,White,White,,,Wife of a Veteran Who Was Blinded by a Roadside Bomb in Iraq
2017-02-07,White House,Executive Director,Jonathan F Thompson,,National Sheriffs’ Association,White,White,,,
2017-02-07,White House,Sheriff,Dave Mahoney,,"Dane County, WI",White,White,,,
2017-02-07,White House,Sheriff,Danny Glick,,"Laramie County, WY",White,White,,,
2017-02-07,White House,Sheriff,Greg Champagne,,"St. Charles Parish, LA",White,White,,,
2017-02-07,White House,Sheriff,John Layton,,"Marion County, IN",White,White,,,
2017-02-07,White House,Sheriff,Sam Page,,"Rockingham County, NC",White,White,,,
2017-02-07,White House,Sheriff,Carolyn Welsh,,"Chester County, Pa.",White,White,,,
2017-02-07,White House,Sheriff,Harold Eavenson,,"Rockwall County, TX",White,White,,,
2017-02-07,White House,Sheriff,Richard Stanek,,"Hennepin County, MN",White,White,,,
2017-02-07,White House,Sheriff,John Bittick,,"Monroe County, GA",White,White,,,
2017-02-07,By phone,President of Turkey,Recep Tayyip Erdogan,Foreign leader,,White,White,,Turkey,
2017-02-07,By phone,"Former Host, The Blaze",Tomi Lahren,Media,,White,White,,,
2017-02-08,White House,CEO,Brian Krzanich,Executive,Intel,White,White,,,
2017-02-09,White House,CEO,Oscar Munoz,Executive,United Airlines,Hispanic,Hispanic,,,
2017-02-09,White House,CEO,Ed Bastian,Executive,Delta Airlines,White,White,,,
2017-02-09,White House,CEO,Gary C Kelly,Executive,Southwest Airlines,White,White,,,
2017-02-09,White House,CEO,Brad Tilden,Executive,Alaska Airlines,White,White,,,
2017-02-09,By phone,President of Afghanistan,Ashraf Ghani,Foreign leader,,White,White,,Afghanistan,
2017-02-09,By phone,Prime Minister of Iraq,Haider al-Abadi,Foreign leader,,White,White,,Iraq,
2017-02-09,White House,Texas Republican,John Cornyn,U.S. politician,,White,White,Republican,,
2017-02-09,White House,Senate Judiciary Committee Chairman,Chuck Grassley,U.S. politician,,White,White,Republican,,
2017-02-09,White House,West Virginia Senator,Joe Manchin,U.S. politician,,White,White,Democrat,,
2017-02-09,White House,North Dakota Senator,Heidi Heitkamp,U.S. politician,,White,White,Democrat,,
2017-02-09,White House,Montana Senator,Jon Tester,U.S. politician,,White,White,Democrat,,
2017-02-09,White House,Tennessee Senator,Lamar Alexander,U.S. politician,,White,White,Republican,,
2017-02-09,White House,Delaware Senator,Chris Coons,U.S. politician,,White,White,Democrat,,
2017-02-09,White House,West Virginia Senator,Shelley Capito,U.S. politician,,White,White,Republican,,
2017-02-09,White House,Indiana Senator,Joe Donnelly,U.S. politician,,White,White,Democrat,,
2017-02-09,White House,Colorado Senator,Michael Bennet,U.S. politician,,White,White,Democrat,,
2017-02-09,White House,Former New Hampshire Senator,Kelly Ayotte,U.S. politician,,White,White,Republican,,
2017-02-09,By phone,Emir of Kuwait,Sabah IV Ahmad Al-Jaber Al-Sabah,Foreign leader,,White,White,,Kuwait,
2017-02-09,By phone,Emir of Qatar,Tamim bin Hamad Al Thani,Foreign leader,,White,White,,Qatar,
2017-02-09,By phone,President of China,Xi Jinping,Foreign leader,,Asian,Asian,,China,
2017-02-10,Mar-a-Lago,CEO,Robert Kraft,Executive,Kraft Group,White,White,,,
2017-02-10,White House,Prime Minister of Japan,Shinzō Abe,Foreign leader,,Asian,Asian,,Japan,
2017-02-10,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-02-11,Mar-a-Lago,Prime Minister of Japan,Shinzō Abe,Foreign leader,,Asian,Asian,,Japan,
2017-02-11,Mar-a-Lago,,Ernie Els,Celebrity/athlete,,White,White,,,Professional Golfer
2017-02-11,Mar-a-Lago,CEO,Richard LeFrak,Executive,LeFrak,White,White,,,
2017-02-11,By phone,President of Tunisia,Beji Caid Essebsi,Foreign leader,,White,White,,Egypt,
2017-02-11,By phone,President of Colombia,Juan Manuel Santos,Foreign leader,,Hispanic,Hispanic,,Colombia,
2017-02-12,Mar-a-Lago,CEO,Steve Wynn,Executive,Wynn Resorts,White,White,,,
2017-02-12,White House,Secretary of the Treasury,Steven Mnuchin,Cabinet member,,White,White,,,
2017-02-12,By phone,President of Peru,Pedro Kuczynski Godard,Foreign leader,,Hispanic,Hispanic,,Peru,
2017-02-13,White House,CEO,Elyse Allan,Executive,GE Canada,White,White,,,
2017-02-13,White House,CEO,Dawn Farrell,Executive,TransAlta,White,White,,,
2017-02-13,White House,CEO,Linda Hasenfratz,Executive,Linamar,White,White,,,
2017-02-13,White House,Chair of Board,Monique F Leroux,Executive,Investissement Quebec,White,White,,,
2017-02-13,White House,CEO,Tina Lee,Executive,T & T Supermarket,Asian,Asian,,,
2017-02-13,White House,CEO,Tamara Lundgren,Executive,Schnitzer Steel Industries,White,White,,,
2017-02-13,White House,Board of Directors,Carol Stephenson,Executive,General Motors,White,White,,,
2017-02-13,White House,CEO,Julie Sweet,Executive,Accenture North America,White,White,,,
2017-02-13,White House,CEO,Annette Verschuren,Executive,NRStor Inc.,White,White,,,
2017-02-13,By phone,President of Nigeria,Muhammadu Buhari,Foreign leader,,Black,Black,,Nigeria,
2017-02-13,By phone,President of South Africa,Jacob Zuma,Foreign leader,,Black,Black,,South Africa,
2017-02-13,White House,Prime Minister of Canada,Justin Trudeau,Foreign leader,,White,White,,Canada,
2017-02-13,White House,RNC Chairwoman,Ronna McDaniel,U.S. politician,,White,White,Republican,,
2017-02-13,White House,RNC Co-Chair,Bob Paduchik,U.S. politician,,White,White,Republican,,
2017-02-13,By phone,,Maureen Scalia,,,White,White,,,The Late Antonin Scalia's Wife
2017-02-13,White House,,Maureen Scalia,,,White,White,,,The Late Antonin Scalia's Wife
2017-02-14,White House,Attorney General,Jeff Sessions,Cabinet member,,White,White,,,
2017-02-14,White House,Secretary of Education,Betsy DeVos,Cabinet member,,White,White,Republican,,
2017-02-14,By phone,Prime Minister of Britain,Theresa May,Foreign leader,,White,White,,United Kingdom,
2017-02-14,White House,New Jersey Governor,Chris Christie,U.S. politician,,White,White,Republican,,
2017-02-14,White House,New Jersey First Lady,Mary Christie,,,White,White,Republican,,
2017-02-14,White House,,Carol Bonilla,,,Hispanic,Hispanic,,,Spanish Teacher at a Private School
2017-02-14,White House,,Kenneth Smith,,,White,White,,,Parent and President of a Dropout Prevention Program
2017-02-14,White House,,Aimee Viana,,,White,White,,,Parent of Two Students at a Private School and Former Principal
2017-02-14,White House,,Kathyrn Doherty,,,White,White,,,Parent of a Student at a Private Catholic School
2017-02-14,White House,,Laura Parrish,,,White,White,,,Parent of a Home-Schooled Student
2017-02-14,White House,,Julie R Baumann,,,White,White,,,5th Grade Teacher at a Public School
2017-02-14,White House,,Jane Quenneville,,,White,White,,,Principal of a Public School Specializing in Special Education
2017-02-14,White House,,Jennifer Coleman,,,White,White,,,Parent and Teacher of Four Home-School Students
2017-02-14,White House,,Mary Riner,,,White,White,,,Parent of a Student at a Charter School
2017-02-14,White House,Secretary of Homeland Security,John Kelly,Cabinet member,,White,White,,,
2017-02-14,White House,Parent of Seven Students in Public and Private Schools,Bartholomew Cirenza,,,White,White,,,
2017-02-14,White House,Then-Director of the FBI,James B Comey,,,White,White,Independent,,
2017-02-15,White House,President and CEO,Bill Rhodes,Executive,Autozone,White,White,,,
2017-02-15,White House,CEO,Brian Cornell,Executive,Target,White,White,,,
2017-02-15,White House,CEO,Hubert Joly,Executive,Best Buy,White,White,,,
2017-02-15,White House,CEO,Art Peck,Executive,"Gap, Inc",White,White,,,
2017-02-15,White House,CEO,Stefano Pessina,Executive,Walgreens Boots Alliance,White,White,,,
2017-02-15,White House,CEO,Marvin Ellison,Executive,JC Penney,Black,Black,,,
2017-02-15,White House,CEO,Jill Soltau,Executive,Jo-Ann Stores,White,White,,,
2017-02-15,White House,CEO,Greg Sandfort,Executive,Tractor Supply Company,White,White,,,
2017-02-15,By phone,President of Argentina,Mauricio Macri,Foreign leader,,Hispanic,Hispanic,,Argentina,
2017-02-15,White House,Florida Senator,Marco Rubio,U.S. politician,,Hispanic,Hispanic,Republican,,
2017-02-15,White House,Wife of Marco Rubio,Jeanette Rubio,,,Hispanic,Hispanic,Republican,,
2017-02-15,White House,Prime Minister of Israel,Benjamin Netanyahu,Foreign leader,,White,White,,Israel,
2017-02-16,White House,President and CEO,Hal Quinn,Executive,National Mining Association,White,White,,,
2017-02-16,White House,President of External Relations,Matt Evans,Executive,Boich Companies,White,White,,,
2017-02-16,White House,"Chairman, President and CEO",Robert Murray,Executive,Murray Energy,White,White,,,
2017-02-16,White House,Vice President- Operations,Ryan Murray,Executive,Murray Energy,White,White,,,
2017-02-16,White House,Superintendent,Casey Crooks,Executive,American Energy Corporation,White,White,,,
2017-02-16,White House,General Manager,Kevin Hughes,Executive,Murray Energy,White,White,,,
2017-02-16,White House,General Superintendent,Scott Martin,Executive,The Harrison County Coal Company,White,White,,,
2017-02-16,White House,"Executive Vice President, Chief Operating Officer, and Chief Financial Officer,",Robert Moore,Executive,Murray Energy,White,White,,,
2017-02-16,White House,General Manager,John Hardison,Executive,"Anchor Longwall and Rebuild, Inc.",White,White,,,
2017-02-16,White House,General Manager,Eric Grimm,Executive,The Marshall County Coal Company,White,White,,,
2017-02-16,White House,Vice President of Governmental Affairs,Michael Carey,Executive,Murray Energy,White,White,,,
2017-02-16,White House,Senior Corporate Counsel and Director of Investor and Media Relations,Gary Broadbent,Executive,Murray Energy,White,White,,,
2017-02-16,White House,"General Superintendent,",Michael Nelson,Executive,The Marion County Coal Company,White,White,,,
2017-02-16,White House,Attorney General,Jeff Sessions,Cabinet member,,White,White,,,
2017-02-16,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-02-16,White House,West Virginia Senator,Joe Manchin,U.S. politician,,White,White,Democrat,,
2017-02-16,White House,North Dakota Senator,Heidi Heitkamp,U.S. politician,,White,White,Democrat,,
2017-02-16,White House,West Virginia Senator,Shelley Capito,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Ohio Representative,Bill Johnson,U.S. politician,,White,White,Republican,,
2017-02-16,White House,West Virginia Representative,David McKinley,U.S. politician,,White,White,Republican,,
2017-02-16,White House,West Virginia Representative,Evan Jenkins,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Ohio Representative,Jim Jordan,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Virginia Representative,Morgan Griffith,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Utah Representative,Rob Bishop,U.S. politician,,White,White,Republican,,
2017-02-16,White House,West Virginia Representative,Alex Mooney,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Ohio Representative,Jim Renacci,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Colorado Representative,Doug Lamborn,U.S. politician,,White,White,Republican,,
2017-02-16,White House,New York Representative,Chris Collins,U.S. politician,,White,White,Republican,,
2017-02-16,White House,California Representative,Duncan Hunter,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Tennessee Representative,Scott DesJarlais,U.S. politician,,White,White,Republican,,
2017-02-16,White House,New York Representative,Tom Reed,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Pennsylvania Representative,Tom Marino,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Pennsylvania Representative,Lou Barletta,U.S. politician,,White,White,Republican,,
2017-02-16,White House,North Dakota Representative,Kevin Cramer,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Missouri Representative,Billy Long,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Pennsylvania Representative,Mike Kelly,U.S. politician,,White,White,Republican,,
2017-02-16,White House,Kentucky Senator,Rand Paul,U.S. politician,,White,White,Republican,,
2017-02-16,By phone,President of Tunisia,Beji Caid Essebsi,Foreign leader,,White,White,,Egypt,
2017-02-17,"North Charleston, South Carolina",CEO,Dennis Muilenburg,Executive,Boeing,White,White,,,
2017-02-17,By phone,President of Tunisia,Beji Caid Essebsi,Foreign leader,,White,White,,Egypt,
2017-02-19,By phone,President of Panama,Juan Varela,Foreign leader,,Hispanic,Hispanic,,Panama,
2017-02-19,By phone,Prime Minister of Trinidad and Tobago,Keith Rowley,Foreign leader,,Black,Black,,Trinidad and Tobago,
2017-02-19,Mar-a-Lago,,Rory McIlroy,Celebrity/athlete,,White,White,,,Professional Golfer
2017-02-21,White House,"CEO, Former Chairman of Trump's Inaugural Committee",Tom Barrack,Executive,Colony Capital,White,White,,,
2017-02-21,Smithsonian Museum of African American History and Culture,,Craig Melvin,Media,NBC,Black,Black,,,
2017-02-21,Smithsonian Museum of African American History and Culture,Founder,Alveda King,,Alveda King Ministries,Black,Black,,,
2017-02-22,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-02-22,White House,Secretary of the Treasury,Steven Mnuchin,Cabinet member,,White,White,,,
2017-02-22,White House,Director of the White House Office of Management and Budget,Mick Mulvaney,Cabinet member,,White,White,Republican,,
2017-02-23,White House,CEO,Kenneth C Frazier,Executive,Merck,Black,Black,,,
2017-02-23,Event at Ritz Carlton in DC,Co-Founder,Henry Kravis,Executive,Kohlberg Kravis Roberts,White,White,,,
2017-02-23,White House,CEO,Jeff Immelt,Executive,General Electric,White,White,,,
2017-02-23,White House,CEO,Michael Dell,Executive,Dell,White,White,,,
