name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Wang Zhenhua,Wang,wang-zhenhua,no-pic,204.772,55,real estate,Real Estate,M,China,1516704901086,3986.136,577,577
Sandy Weill,Weill,sandy-weill,no-pic,0.116,84,Citigroup,Finance and Investments,M,United States,1516704901086,1005.436,2016,2016
Gordon Wu,Wu,gordon-wu,gordon-wu,-12.525,82,real estate,Real Estate,M,Hong Kong,1516704901086,1374.819,1702,1702
Thomas Wu,Wu,thomas-wu,thomas-wu,-4.249,67,finance,Finance and Investments,M,Taiwan,1516704901086,1488.285,1603,1603
Xia Dinghu,Xia,xia-dinghu,no-pic,,73,auto parts,Automotive,M,China,1506115971829,,,
Xiao Chunhong,Xiao,xiao-chunhong,no-pic,0,50,real estate,Real Estate,M,China,1516704901086,1475.64,1613,1613
Swift Xie,Xie,swift-xie,no-pic,0,,drones,Technology,M,China,1516704901086,1120,1937,1937
Xiu Laigui,Xiu,xiu-laigui,xiu-laigui,0,63,pharmaceuticals,Healthcare,M,China,1516704901086,1211.743,1855,1855
Xu Xiong,Xu,xu-xiong,no-pic,2.009,46,driving schools,Service,M,China,1516704901086,1276.633,1795,1795
Yang Keng,Yang,yang-keng,yang-keng,78.645,57,real estate,Real Estate,M,China,1516704901086,1664.52,1463,1463
Yao Liangsong,Yao,yao-liangsong,no-pic,0,53,furniture,Manufacturing,M,China,1516704901086,6160.25,309,309
Yu Peidi,Yu,yu-peidi,yu-peidi,0.936,58,real estate,Real Estate,M,Hong Kong,1516704901086,1338.365,1736,1736
Zhang Daocai,Zhang,zhang-daocai,no-pic,62.308,68,valves,Diversified,M,China,1516704901086,2181.293,1163,1163
Zhang Desheng,Zhang,zhang-desheng,no-pic,,68,manufacturing,Manufacturing,M,China,1506115972135,,,
Zhang Zhirong,Zhang,zhang-zhirong,zhang-zhirong,20.449,49,"real estate, shipbuilding",Diversified,M,Hong Kong,1516704901086,1169.847,1893,1893
Zhao Weiguo,Zhao,zhao-weiguo,no-pic,12.833,51,technology,Technology,M,China,1516704901086,1630.046,1486,1486
Zhao Xiaoqiang,Zhao,zhao-xiaoqiang,no-pic,,50,"fashion, entertainment",Fashion & Retail,M,China,1506115992907,,,
Zheng Jianjiang,Zheng,zheng-jianjiang,zheng-jianjiang,2.646,57,electrical equipment,Manufacturing,M,China,1516704901086,1328.521,1741,1741
Zhou Mingjie,Zhou,zhou-mingjie,no-pic,,60,lighting installations,Technology,M,China,1506115993420,,,
Zhou Yifeng,Zhou,zhou-yifeng-1,no-pic,5.41,49,chemicals,Manufacturing,M,China,1516704901086,1413.713,1668,1668
Zhou Yunjie,Zhou,zhou-yunjie,zhou-yunjie,,56,packaging,Manufacturing,M,China,1506115990292,,,
Ali Ibrahim Agaoglu,Agaoglu,ali-ibrahim-agaoglu,ali-ibrahim-agaoglu,0,63,construction,Construction & Engineering,M,Turkey,1516704901086,1216.579,1850,1850
Hamdi Akin,Akin,hamdi-akin,no-pic,0.396,63,diversified,Diversified,M,Turkey,1516704901086,1152.384,1914,1914
Chirayu Amin,Amin,chirayu-amin,chirayu-amin,13.842,71,pharmaceuticals,Healthcare,M,India,1516704901086,1157.336,1906,1906
Marc Andreessen,Andreessen,marc-andreessen,marc-andreessen,-3.067,46,venture capital investing,Finance and Investments,M,United States,1516704901086,1128.809,1930,1930
